[???],0
!,1
\,2
&,3
',4
(,5
),6
*,7
+,8
ⱻ,9
-,10
.,11
0,12
1,13
2,14
3,15
4,16
5,17
6,18
7,19
8,20
9,21
:,22
;,23
=,24
?,25
[,26
\\,27
],28
_,29
`,30
a,31
b,32
c,33
d,34
e,35
f,36
g,37
h,38
i,39
j,40
k,41
l,42
m,43
n,44
o,45
p,46
q,47
r,48
s,49
t,50
u,51
v,52
w,53
x,54
y,55
z,56
|,57
},58
æ,59
œ,60
—,61
‘,62
’,63
“,64
”,65
@@r,66
@@t,67
@@l,68
@@e,69
@@s,70
@@n,71
@@c,72
@@o,73
@@i,74
@@a,75
@@b,76
@@y,77
@@u,78
@@g,79
@@v,80
@@m,81
@@d,82
@@p,83
@@h,84
@@k,85
@@f,86
@@w,87
@@1,88
@@3,89
@@6,90
@@x,91
@@9,92
@@2,93
@@z,94
@@j,95
@@8,96
@@q,97
@@4,98
@@0,99
@@5,100
@@7,101
@@æ,102
@@œ,103
th,104
@@er,105
@@ou,106
the,107
@@nd,108
@@in,109
@@at,110
@@or,111
@@es,112
@@en,113
and,114
@@ar,115
@@ll,116
@@on,117
@@is,118
to,119
@@th,120
@@an,121
of,122
@@ing,123
@@ed,124
you,125
wh,126
@@as,127
no,128
in,129
@@om,130
wi,131
be,132
@@re,133
he,134
@@ve,135
ha,136
@@ow,137
@@le,138
@@ce,139
that,140
my,141
@@ut,142
@@ch,143
sh,144
@@st,145
@@ld,146
@@se,147
@@et,148
@@it,149
@@ir,150
for,151
@@ay,152
@@ere,153
it,154
@@im,155
@@gh,156
me,157
with,158
@@ur,159
@@ter,160
st,161
@@oo,162
is,163
@@al,164
@@id,165
not,166
@@ent,167
as,168
his,169
@@us,170
@@ad,171
we,172
on,173
@@ke,174
@@ly,175
pr,176
@@am,177
but,178
so,179
@@ght,180
thou,181
an,182
your,183
@@all,184
do,185
this,186
@@ess,187
him,188
was,189
li,190
@@ck,191
@@ould,192
@@ome,193
have,194
re,195
@@ain,196
@@ion,197
se,198
fr,199
her,200
@@ver,201
de,202
@@ath,203
@@ord,204
@@est,205
@@ore,206
what,207
@@ge,208
@@ct,209
will,210
at,211
@@ther,212
@@ra,213
su,214
en,215
@@ard,216
@@pe,217
@@li,218
all,219
@@ood,220
@@ri,221
ch,222
by,223
go,224
@@our,225
ne,226
lo,227
@@and,228
had,229
kn,230
@@il,231
if,232
ex,233
@@ight,234
she,235
@@un,236
up,237
thy,238
@@ich,239
there,240
@@ant,241
@@ro,242
or,243
@@ast,244
@@ake,245
@@ell,246
con,247
are,248
@@ak,249
shall,250
@@ue,251
@@ie,252
le,253
@@ol,254
@@art,255
@@ill,256
sa,257
com,258
man,259
@@ble,260
lord,261
from,262
@@ers,263
@@ine,264
our,265
they,266
@@ust,267
@@um,268
fa,269
@@ot,270
@@ous,271
@@fe,272
